holiday,temp,rain,snow,weather,day,month,year,hours,minutes,seconds,traffic_volume
0,288.28,0.0,0.0,Clouds,2,10,2012,9,0,0,5545
1,289.36,0.0,0.0,Clouds,2,10,2012,10,0,0,4516
1,289.58,0.0,0.0,Clouds,2,10,2012,11,0,0,4767
0,290.13,0.0,0.0,Clouds,2,10,2012,12,0,0,5026
0,291.14,0.0,0.0,Clouds,2,10,2012,13,0,0,4918
0,291.72,0.0,0.0,Clear,2,10,2012,14,0,0,5181
0,293.17,0.0,0.0,Clear,2,10,2012,15,0,0,5584
1,293.86,0.0,0.0,Clear,2,10,2012,16,0,0,6015
1,294.14,0.0,0.0,Clouds,2,10,2012,17,0,0,5791
0,293.1,0.0,0.0,Clouds,2,10,2012,18,0,0,4770
0,290.97,0.0,0.0,Clouds,2,10,2012,19,0,0,3539
1,289.38,0.0,0.0,Clear,2,10,2012,20,0,0,2784
1,288.61,0.0,0.0,Clear,2,10,2012,21,0,0,2361
0,287.16,0.0,0.0,Clear,2,10,2012,22,0,0,1529
0,285.45,0.0,0.0,Clear,2,10,2012,23,0,0,963
0,284.63,0.0,0.0,Clear,3,10,2012,0,0,0,506
1,283.47,0.0,0.0,Clear,3,10,2012,1,0,0,321
1,281.18,0.0,0.0,Clear,3,10,2012,2,0,0,273
0,281.09,0.0,0.0,Clear,3,10,2012,3,0,0,367
0,279.53,0.0,0.0,Clear,3,10,2012,4,0,0,814
0,278.62,0.0,0.0,Clear,3,10,2012,5,0,0,2718
1,278.23,0.0,0.0,Clear,3,10,2012,6,0,0,5673
1,278.12,0.0,0.0,Clear,3,10,2012,8,0,0,6511
1,281.2053507092272,0.0,0.0,Clear,3,10,2012,9,0,0,5471
1,291.97,0.0,0.0,Clear,3,10,2012,12,0,0,5097
1,293.23,0.0,0.0,Clear,3,10,2012,13,0,0,4887
1,294.31,0.0,0.0,Clear,3,10,2012,14,0,0,5337
0,295.17,0.0,0.0,Clear,3,10,2012,15,0,0,5692
1,295.13,0.0,0.0,Clear,3,10,2012,16,0,0,6137
0,281.2053507092272,0.0,0.0,Clouds,3,10,2012,18,0,0,4623
0,290.65,0.0,0.0,Clouds,3,10,2012,19,0,0,3591
0,288.19,0.0,0.0,Clouds,3,10,2012,20,0,0,2898
0,287.1,0.0,0.0,Clear,3,10,2012,21,0,0,2637
1,286.25,0.0,0.0,Clear,3,10,2012,22,0,0,1777
0,285.26,0.0,0.0,Clear,3,10,2012,23,0,0,1015
0,284.55,0.0,0.0,Clear,4,10,2012,0,0,0,598
0,283.47,0.0,0.0,Clear,4,10,2012,1,0,0,369
0,283.17,0.0,0.0,Clear,4,10,2012,2,0,0,312
0,282.04,0.0,0.0,Clear,4,10,2012,3,0,0,367
1,281.69,0.0,0.0,Clear,4,10,2012,4,0,0,835
0,281.32,0.0,0.0,Clear,4,10,2012,5,0,0,2726
0,280.74,0.0,0.0,Clear,4,10,2012,6,0,0,5689
0,280.57,0.0,0.0,Clear,4,10,2012,7,0,0,6990
0,281.2053507092272,0.0,0.0,Clear,4,10,2012,8,0,0,5985
0,284.98,0.0,0.0,Clear,4,10,2012,9,0,0,5309
1,289.18,0.0,0.0,Clear,4,10,2012,10,0,0,4603
1,291.55,0.0,0.0,Clear,4,10,2012,11,0,0,4884
1,294.97,0.0,0.0,Clear,4,10,2012,12,0,0,5104
0,296.38,0.0,0.0,Clear,4,10,2012,13,0,0,5178
0,297.32,0.0,0.0,Clear,4,10,2012,14,0,0,5501
0,298.17,0.0,0.0,Clear,4,10,2012,15,0,0,5713
1,298.06,0.0,0.0,Clouds,4,10,2012,16,0,0,6292
0,297.67,0.0,0.0,Clouds,4,10,2012,17,0,0,6057
0,296.36,0.0,0.0,Clouds,4,10,2012,18,0,0,4907
0,293.85,0.0,0.0,Clouds,4,10,2012,19,0,0,3503
1,292.43,0.0,0.0,Clouds,4,10,2012,20,0,0,3037
1,291.77,0.0,0.0,Clouds,4,10,2012,21,0,0,2822
1,281.2053507092272,0.0,0.0,Clouds,4,10,2012,22,0,0,1992
0,291.12,0.0,0.0,Clouds,4,10,2012,23,0,0,1166
1,290.63,0.0,0.0,Clouds,5,10,2012,0,0,0,627
0,290.46,0.0,0.0,Clouds,5,10,2012,1,0,0,388
0,289.26,0.0,0.0,Clear,5,10,2012,3,0,0,368
0,283.21,0.0,0.0,Clouds,5,10,2012,5,0,0,2489
0,282.24,0.0,0.0,Clouds,5,10,2012,6,0,0,5537
0,281.69,0.0,0.0,Clouds,5,10,2012,7,0,0,6628
1,280.57,0.0,0.0,Clouds,5,10,2012,8,0,0,5534
1,280.02,0.0,0.0,Clouds,5,10,2012,9,0,0,5403
1,280.11,0.0,0.0,Clouds,5,10,2012,10,0,0,4770
1,280.0,0.0,0.0,Clouds,5,10,2012,11,0,0,5217
0,280.53,0.0,0.0,Clouds,5,10,2012,12,0,0,5870
0,281.43,0.0,0.0,Clouds,5,10,2012,13,0,0,5967
1,281.78,0.0,0.0,Clouds,5,10,2012,14,0,0,6108
